time,close,high,low,open,volumefrom,volumeto
1519728540,0.0348,0.0349,0.0347,0.0347,167672.72,5835.02
1519728600,0.0347,0.0348,0.0346,0.0348,198917.4,6891.33
1519728660,0.0347,0.0349,0.0346,0.0347,160452.45,5581.28
1519728720,0.0349,0.0349,0.0347,0.0347,39127.01,1363.46
1519728780,0.035,0.035,0.0349,0.0349,206723.67,7232.5
1519728840,0.0347,0.035,0.0347,0.035,129365.48,4508.04
1519728900,0.0348,0.0348,0.0347,0.0347,74260.74,2584.27
1519728960,0.0349,0.0349,0.0348,0.0348,92018.61,3211.45
1519729020,0.035,0.035,0.0349,0.0349,304178.26,10645.26
1519729080,0.035,0.0351,0.0349,0.035,1111776.97,38923.36
1519729140,0.0349,0.035,0.0349,0.035,234791.68,8201
1519729200,0.0349,0.035,0.0349,0.0349,620688.05,21700.41
1519729260,0.0349,0.035,0.0349,0.0349,34919.68,1220.45
1519729320,0.035,0.035,0.0349,0.0349,623938.02,21794.93
1519729380,0.035,0.0351,0.035,0.035,63026.67,2206.01
1519729440,0.035,0.035,0.035,0.035,16969.54,593.93
1519729500,0.0351,0.0351,0.035,0.035,49123.49,1719.55
1519729560,0.0352,0.0352,0.035,0.0351,70628.83,2481.56
1519729620,0.0352,0.0352,0.0351,0.0352,117791.98,4145.98
1519729680,0.0352,0.0352,0.0351,0.0352,34647.33,1218.34
1519729740,0.0352,0.0352,0.0352,0.0352,858675.01,30225.36
1519729800,0.0351,0.0352,0.0351,0.0352,129320.33,4551.19
1519729860,0.0352,0.0353,0.0351,0.0351,211286.51,7444.49
1519729920,0.0352,0.0354,0.0352,0.0352,354296.69,12493.28
1519729980,0.0351,0.0352,0.0351,0.0352,454784.88,16004.57
1519730040,0.0351,0.0351,0.0351,0.0351,1689.39,59.3
1519730100,0.0353,0.0353,0.0351,0.0351,398722.7,14027.84
1519730160,0.0352,0.0353,0.0352,0.0353,464103.84,16341.62
1519730220,0.0353,0.0354,0.0352,0.0352,567832.04,20057.29
1519730280,0.0353,0.0354,0.0353,0.0353,17123.95,605.02
1519730340,0.0353,0.0354,0.0352,0.0353,76282.07,2693.89
1519730400,0.0353,0.0353,0.0352,0.0353,22293.99,786.93
